dateobs,Num,ID,Name,RA,DEC,RA_manga,DEC_manga,Redshift,V_disc,V_abs,Offset,Type,Disc_Age,Classification_Age,Galaxy_Name
2021-12-30 12:28:48,1299,ASASSN-21wm,manga-8550-3701,246.65292,39.85863,246.6527044,39.8586585,0.031358,17.2,-18.4,0.61,Ia,---,---,WISE J162636.63+395131.2
2021-12-31 09:50:23,1298,ASASSN-21wl,manga-12518-3702,158.71108,0.67631,158.7107714,0.6763835,0.032035,17.1,-18.8,1.24,Ia,-2,0,CGCG 009-083
2021-08-04 04:19:12,1252,ASASSN-21ov,manga-9092-6101,240.68768,25.25228,240.6876691,25.2521889,0.048114,17.8,-19.0,0.4,Ia,---,---,CGCG 137-020
2019-11-23 12:00:00,1068,ASASSN-19abp,manga-10517-6102,151.17085,4.81643,151.1706895,4.818203,0.029841,17.0,-18.6,6.43,Ia,---,---,CGCG 036-029
2019-09-03 03:21:36,1032,ASASSN-19vp,manga-8597-12703,225.38941,49.10979,225.388974,49.1124291,0.02602,16.6,-18.6,7.06,Ia,-7,-3,SDSS J150132.77+490633.3
2019-07-29 05:02:24,1011,ASASSN-19sv,manga-8593-12701,227.76387,52.05019,227.7612953,52.0500422,0.036876,17.8,-18.3,5.73,Ia,---,---,CGCG 274-031
2019-04-30 08:52:47,960,ASASSN-19lg,manga-8615-9102,321.47208,0.41467,321.4740419,0.4160588,0.03177,17.9,-17.8,8.54,Ia,---,---,2MASX J21255379+0024583
2019-03-03 09:21:35,919,ASASSN-19ec,manga-8321-12705,197.23886,28.28127,197.23827,28.28052,0.01951,17.6,-17.1,3.36,Ia,-12,-10,MCG +05-31-141
2018-03-26 06:28:48,668,ASASSN-18gi,manga-11830-6103,198.60589,50.97781,198.6086936,50.9791688,0.029664,17.5,-18.1,7.99,Ia,-13,-10,CGCG 271-025
2018-01-09 11:02:24,599,ASASSN-18ag,manga-8441-12701,222.2232,38.76769,222.2245128,38.768257,0.03161,16.9,-18.8,4.18,Ia,-2,0,MCG +07-30-065
2017-07-25 13:26:24,515,ASASSN-17jt,manga-7815-3702,317.90347,11.49724,317.9032015,11.4969434,0.029378,17.0,-18.6,1.49,Ia,5,6,CGCG 426-012
2017-05-31 10:04:48,491,ASASSN-17hb,manga-12074-12705,18.142487,0.2914722,18.1404262,0.2933499,0.019117,16.0,-18.4,10.48,Ia,---,---,UGC 00757
2017-03-28 08:09:36,466,ASASSN-17ee,manga-8145-1902,117.04586,28.23029,117.0457412,28.2302751,0.027675,16.8,-18.6,0.22,Ia,-5,-4,UGC 04030 NED01
2017-01-26 14:38:24,436,ASASSN-17bh,manga-8314-12702,240.96543,39.990047,240.9673048,39.9844255,0.031864,16.6,-19.0,14.52,Ia,-3,2,CGCG 223-033
2016-02-06 11:16:47,290,ASASSN-16bg,manga-11014-1902,194.85458,27.74027,194.853874,27.7388535,0.020221,17.4,-17.3,5.68,Ia,14,30,2MASX J12592491+2744198
2015-12-31 09:07:12,269,ASASSN-15uv,manga-9510-9101,126.78388,27.81159,126.784081,27.810452,0.02033,16.4,-18.4,4.16,Ia,---,---,2MASX J08270817+2748382
2015-11-08 14:52:47,239,ASASSN-15so,manga-10509-12703,168.54588,48.31877,168.5453761,48.3185159,0.007125,15.1,-17.4,1.5,Ia,---,---,NGC 3583
2015-09-11 14:38:24,219,ASASSN-15pn,manga-8158-1901,60.85967,-5.49203,60.8593329,-5.4918423,0.038393,17.7,-18.6,1.43,Ia,-4,3,SDSS J040326.23-052930.6
2015-08-06 07:55:11,201,ASASSN-15ns,manga-8588-6102,250.11675,39.32021,250.1167098,39.3201175,0.030671,16.8,-18.8,0.3,Ia,-3,-2,MRK 0887
2015-05-22 08:09:36,162,ASASSN-15jt,manga-8321-6102,197.03804,27.82636,197.0379458,27.8265966,0.022999,17.1,-17.9,0.95,Ia,-13,-10,2MASX J13080914+2749354
2015-03-17 15:07:12,124,ASASSN-15fa,manga-11983-12701,257.44179,62.974169,257.4336368,62.9730544,0.027408,16.2,-19.2,13.89,Ia-91T,-6,-5,NGC 6319
